Site_Type,Site_Code,Genus_Code,Species_Code,Cultivar_Code,Species_Latin,Species_Common,Native_SLL,Native_ETF,Invasive,Latitude,Longitude,DBH
S,S102,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,Y,Y,N,45.456564,-73.642233,35.4
S,S102,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456636,-73.642425,9.3
S,S102,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,N,Y,N,45.456659,-73.642489,6.4
S,S102,AL,ALGL,ALGL,Alnus glutinosa,European Black Alder,N,N,Y,45.456753,-73.64273,8.7
S,S103,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,Y,Y,N,45.458145,-73.646358,7.6
S,S103,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.458228,-73.646559,69.1
S,S103,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.458282,-73.646665,79.4
S,S103,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.458318,-73.646777,85.3
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458367,-73.646942,59.3
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458407,-73.64705,64.8
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458443,-73.647155,49.6
S,S103,MA,MARB,MAXXRB,Malus x 'Robinson',Robinson Crab Apple,N,N,N,45.458542,-73.647383,5.1
S,S103,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.458567,-73.647474,69.9
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458597,-73.647549,46.2
S,S103,AC,ACNI,ACNIGC,Acer nigrum 'Green Column',Green Column Black Maple,N,N,N,45.45872,-73.647829,9.3
S,S103,MG,MGSO,MGSO,Magnolia Soulangeana,Saucer magnolia,N,N,N,45.458794,-73.648034,5.4
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458865,-73.648222,87.3
S,S103,OS,OSVI,OSVI,Ostrya virginiana,American Hop-Hornbeam Ironwood,Y,Y,N,45.458936,-73.64839,6
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459031,-73.64867,77.2
S,S103,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.459076,-73.6488,66.1
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459129,-73.648919,73.8
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459183,-73.649062,78
S,S103,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459242,-73.64921,67.5
S,S104,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,N,Y,N,45.456133,-73.641577,43.3
S,S104,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.456277,-73.641931,37.7
S,S104,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.456331,-73.642068,70
S,S104,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456393,-73.642237,76.9
S,S104,SO,SOAU,SOAURS,Sorbus aucuparia 'Rossica',Rossica European Mountain Ash,N,N,N,45.456469,-73.642443,12.9
S,S104,AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,Y,Y,N,45.456523,-73.642584,29.3
S,S104,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.456672,-73.642928,56.1
S,S104,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.45599,-73.641197,85.4
S,S104,JU,JUNI,JUNI,Juglans nigra,Eastern Black Walnut,Y,Y,N,45.45603,-73.641309,18.2
S,S104,QU,QURO,QUROFA,Quercus robur 'Fastigiata',Fastigiate English Oak,N,N,N,45.455945,-73.641068,23.3
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.457927,-73.646198,63.8
S,S105,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.457932,-73.646272,24.8
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.457976,-73.646324,68.2
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458012,-73.646424,50.9
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458071,-73.646561,73.4
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458107,-73.646653,58.3
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.45816,-73.646799,58.6
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458205,-73.646913,62.1
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458371,-73.647342,69.3
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458434,-73.647499,69.1
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458474,-73.647606,61.6
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458519,-73.647726,56.9
S,S105,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.458555,-73.647831,85
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458604,-73.647949,74.4
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.458649,-73.648069,
S,S105,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,N,N,N,45.458676,-73.648199,
S,S105,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.458802,-73.64852,
S,S105,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.458855,-73.648632,
S,S105,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.45891,-73.64877,
S,S105,QU,QUPA,QUPA,Quercus palustrus,Pin Oak,N,Y,N,45.458968,-73.648894,
S,S105,QU,QURU,QURU,Quercus rubra,Red Oak,Y,Y,N,45.459021,-73.649039,
S,S105,AC,ACFR,ACFRCE,Acer x freemanii 'Celebration',Acer x freemanii Celebration,Y,Y,N,45.459089,-73.649221,15.5
S,S105,MA,MAMA,MAXXMA,Malus x 'Makamik',Makamik Crab Apple,N,N,N,45.459062,-73.649159,
S,S105,MA,MAMA,MAXXMA,Malus x 'Makamik',Makamik Crab Apple,N,N,N,45.459129,-73.649314,11.1
S,S105,MA,MARB,MAXXRB,Malus x 'Robinson',Robinson Crab Apple,N,N,N,45.4591474,-73.6493434,11.7
S,S106,JU,JUNI,JUNI,Juglans nigra,Eastern Black Walnut,Y,Y,N,45.456916,-73.643575,13.6
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456963,-73.6437,72.2
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457008,-73.643811,40
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457053,-73.643935,81.2
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457093,-73.644062,66.5
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457142,-73.644178,89.4
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457187,-73.644303,86.3
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457237,-73.644415,115.5
S,S106,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.45729,-73.644545,77.7
S,S106,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.457353,-73.644706,68.5
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457389,-73.644867,29.3
S,S106,QU,QURO,QUROFA,Quercus robur 'Fastigiata',Fastigiate English Oak,N,N,N,45.457533,-73.645183,38.9
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457479,-73.645047,92.9
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457568,-73.64529,102.5
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457663,-73.64553,89.4
S,S106,CT,CTSP,CTSP,Catalpa speciosa,Western Catalpa,N,Y,N,45.457618,-73.645422,7.6
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.45768,-73.645582,94.5
S,S106,AC,ACPL,ACPLSU,Acer platanoides 'Summershade',Summershade Norway Maple,N,N,Y,45.457806,-73.645905,43
S,S106,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456802,-73.643282,55.1
S,S11,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.468033,-73.638893,61.6
S,S11,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,N,Y,N,45.468089,-73.639051,17.9
S,S11,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,Y,Y,N,45.46823,-73.639409,72.4
S,S11,AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,N,N,Y,45.468297,-73.63958,34.5
S,S11,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.468346,-73.639709,29.4
S,S11,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.468409,-73.639879,99.1
S,S11,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,N,N,N,45.468462,-73.640027,8.6
S,S11,QU,QURO,QUROFA,Quercus robur 'Fastigiata',Fastigiate English Oak,N,N,N,45.468597,-73.640349,6.3
S,S11,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,N,N,N,45.468631,-73.640452,5.1
S,S11,AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,N,N,Y,45.468692,-73.640622,32.5
S,S11,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.468732,-73.640725,28.2
S,S11,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.468782,-73.640834,49.7
S,S11,QU,QUPA,QUPA,Quercus palustrus,Pin Oak,N,Y,N,45.468835,-73.640996,12.7
S,S11,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.468885,-73.641115,64.1
S,S11,AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,N,N,Y,45.468943,-73.64127,26
S,S12,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,Y,Y,N,45.467068,-73.636408,63.4
S,S12,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,Y,Y,N,45.467131,-73.636578,44.9
S,S12,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,Y,Y,N,45.467167,-73.636697,66.7
S,S12,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,Y,Y,N,45.467212,-73.636818,55.1
S,S12,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.467378,-73.637225,60.9
S,S12,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.467463,-73.637432,73.7
S,S12,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.46765,-73.637917,17.3
S,S12,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.46679,-73.635679,94.5
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455489,-73.64613,71.9
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455551,-73.646282,80
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455601,-73.646416,90.8
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455713,-73.646688,73.3
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455812,-73.646944,74.3
S,S13,TI,TIAM,TIAM,Tilia americana,Basswood,Y,Y,N,45.455986,-73.64736,64.8
S,S13,AC,ACPL,ACPLSP,Acer platanoides 'Superform',Superform Norway Maple,N,N,Y,45.456063,-73.647597,32.1
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456206,-73.647981,74.4
S,S13,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456269,-73.648129,72.8
S,S13,FR,FRAM,FRAMSK,Fraxinus americana 'Skyline',Skyline White Ash,Y,Y,N,45.456307,-73.64823,22
S,S13,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.45639,-73.648445,66.2
S,S13,QU,QURU,QURU,Quercus rubra,Red Oak,Y,Y,N,45.456412,-73.648496,43.8
S,S13,QU,QURU,QURU,Quercus rubra,Red Oak,Y,Y,N,45.4559481,-73.6472928,5.7
S,S14,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.454309,-73.643075,88.2
S,S14,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.454421,-73.643357,66.1
S,S14,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.454471,-73.643482,59.4
S,S14,TI,TIAM,TIAMRE,Tilia americana 'Redmond',Redmond American Linden,Y,Y,N,45.454538,-73.643626,33.8
S,S14,AE,AEHI,AEHI,Aesculus hippocastanum,Common Horsechesnut,N,N,N,45.454699,-73.644044,137.5
S,S14,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.454753,-73.644228,43
S,S14,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.454803,-73.644337,28.6
S,S14,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.454856,-73.644485,62.1
S,S14,PR,PRVI,PRVISC,Prunus virginiana 'Schubert',Schubert's Chokecherry,Y,Y,N,45.454939,-73.644676,14.1
S,S14,TI,TIAM,TIAMLI,Tilia a. Lincoln,Tilia a. Lincoln,Y,Y,N,45.455003,-73.644848,5
S,S14,CP,CPCA,CPCA,Carpinus caroliniana,Blue-beech,Y,Y,N,45.455072,-73.645027,7.2
S,S14,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.45513,-73.645198,83.2
S,S14,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.455175,-73.645315,51.7
S,S14,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.455242,-73.645452,64.8
S,S14,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455264,-73.645533,67.4
S,S14,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455345,-73.645745,88.9
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456794,-73.649493,102.2
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456847,-73.649621,48.4
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456897,-73.649763,52.2
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457018,-73.650054,62.3
S,S15,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,N,N,N,45.457085,-73.650163,23
S,S15,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,N,N,N,45.457103,-73.650257,48.6
S,S15,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.457049,-73.650133,44.9
S,S15,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,Y,Y,N,45.457167,-73.650427,7.4
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457242,-73.650623,77.4
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457282,-73.650748,68.7
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457327,-73.650835,60.6
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457363,-73.650931,73.1
S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.457399,-73.651042,60.9
S,S16,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455336,-73.646134,57.5
S,S16,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.455533,-73.64664,45
S,S16,BE,BEAL,BEAL,Betula alleghaniensis,Yellow Birch,Y,Y,N,45.4556,-73.646813,9.9
S,S16,GL,GLTR,GLTRST,Gleditsia triacanthos 'Street Keeper',Gleditsia triacanthos 'Street Keeper',N,Y,N,45.455633,-73.646897,5.9
S,S16,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455712,-73.647105,101.9
S,S16,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.455789,-73.647297,50.5
S,S16,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.455869,-73.647522,55.5
S,S16,AC,ACPL,ACPLCK,Acer platanoides 'Crimson King',Crimson King Norway Maple,N,N,Y,45.456017,-73.647888,52.7
S,S16,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,N,Y,N,45.456061,-73.648005,30.3
S,S16,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,N,Y,N,45.4561,-73.648099,24.3
S,S16,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456161,-73.648266,79.2
S,S16,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456224,-73.648424,87.6
S,S17,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.454591,-73.644209,75.1
S,S17,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.454667,-73.644399,84
S,S17,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.454869,-73.64492,75.3
S,S17,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.454937,-73.645096,95
S,S17,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.454999,-73.645268,56.4
S,S17,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455067,-73.645451,87.1
S,S17,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455201,-73.645775,71.1
S,S17,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.455241,-73.645913,79.6
